title,price,description
Тайтси Salewa Zebru Responsive Tight Mns,3 040 грн2 432 грн,"
	Чоловічі тайтси для трекінгу та активного відпочинку. У складі є високий відсоток вовни мериноса, завдяки чому, штани відмінно зберігають тепло, навіть у вологому стані. Вони добре тягнуться, дихають та швидко сохнуть, що важливо під час походів у гори. Анатомічний крій та відсутність швів роблять тайтси ""невагомими"", їх майже не відчутно на тілі. Тайтси можна використовувати як базовий або основний шар одягу під час гірських подорожей.

Призначення: трекінг, альпінізм, походи в гори, активний відпочинок.

Особливості:
	- із вовни мерінос - зберігають тепло навіть у вологому стані
	- добре тягнуться
	- дихаючі
	- швидко сохнуть
	- анатомічний крій
	- без швів

Технічні характеристики:
	Матеріал: Alpine Wool Nylon Yarn Blend (83% WO 17% PA), Responsive Nylon Yarn (100% PA)
	Довжина: 88 см (розмір L)
	Вага: 130 г (розмір L)
"
Термоштани Salewa Cristallo 3/4 Mns,2 807 грн2 246 грн,"
Salewa Cristallo 3/4 Mns - чоловічі термоштани довжиною 3/4. У складі є вовна меринос, ідеально для інтенсивного трекінгу та активного відпочинку. Термоштани чудово зберігають тепло, добре дихають і не вбирають неприємні запахи, що дуже важливо під час тривалих походів в гори.

	Анатомічний крій ідеально підходить для чоловічої фігури і не сковує рухів. Такі штани створені для занять спортом, мандрівок у гори та активного відпочинку.

Призначення: походи в гори, відпочинок на природі, трекінг, туризм, заняття спортом.

Особливості: 
	- довжина 3/4
	- у складі вовна меринос
	- тканина схвалена bluesign
	- добре зберігають тепло
	- швидко сохнуть
	- не вбирають неприємні запахи
	- анатомічний крій, плоскі шви
	- можна прати у пральній машинці

Технічні характеристики: 
	Матеріал: Alpine Merino Responsive Jersey Bluesign 145 g/sqm (78% Wool 22% Polyamide)
	Довжина по внутрішньому шву: 81 см (розмір L)
	Вага: 155 гр (розмір L)

Матеріали і технології:
Alpine Merino Responsive - гібридна тканина, що складається з 78% вовни мериноса і 22% поліаміду. Добре відводить вологу і швидко сохне. 
"
Термоштани Dynafit Speed Dryarn 3/4 Mns Tights,2 163 грн1 730 грн,"
Dynafit Speed Dryarn 3/4 Mns Tights - функціональні чоловічі штани довжиною 3/4. Виготовлені із тканини Dryarn - швидко сохне, розтягується та підтримує комфортний мікроклімат. Завдяки безшовній технології дарують відмінну посадку. Можна використовувати як базовий шар одягу під час лижного спорту.

Особливості:
	- чоловічі
	- довжиною 3/4
	- із тканини Dryarn
	- швидко сохнуть
	- розтягуються
	- підтримують комфортний мікроклімат
	- безшовна технологія
	- відмінна посадка
	- базовий шар одягу під час лижного спорту

Технічні характеристики:
	Матеріал: Elastane 3%, Polyamide 58%, Polypropylene 39%
	Вага: 115г
	 
"
Термоштани Turbat Retezat Bottom Mns,725 грн,"
	Чоловічі термоштани, які відмінно відводить вологу. У складі є вовна меринос (15%), яка відома своїми природними зігріваючими властивостями. Завдяки пропорції вовни та поліестру (15/85), цю річ комфортно використовувати у подорожах протягом декількох днів та тривалих походах, адже вона стійкіша до утворення запаху і швидше сохне.

	Крій і плоскі шви забезпечує свободу рухів і комфорт . Ці термоштани підійдуть як для для гірських мандрівок, походів Карпатами, катання на лижах із середнім навантаженням, під час подорожей з комбінованою програмою місто+природа, використання в місті в холодні дні.

Призначення: хайкінг, гірські походи, кемпінг, відпочинок на природі, подорожі, використання у місті.

Особливості:
	- у складі є вовна овець меринос (15%)
	- відмінна терморегуляція
	- швидко абсорбує та відводить вологу
	- стійкіша до утворення запаху
	- швидко сохне
	- плоскі шви
	- анатомічний крій

Технічні характеристики:
	Матеріал: 85% поліестер, 15% вовна меринос, 140 г/м2
	 
"
Термоштани Turbat Versa Bottom,525 грн,"
	Нові всесезонні чоловічі термоштани від українського виробника Turbat. Нова технологічна двошарова тканина забезпечує швидке висихання та виведення вологи під час активного руху. Дана модель надзвичайно легка та еластична. Анатомічний крій, плоскі шви роблять Versa майже не відчутними на тілі, тому вони повторюють кожен ваш рух. Їх можна використовувати як основний шар одягу у теплу пору або як перший шар під час активного руху у холодну. Можна використовувати розом із термофутболкою Turbat Versa Top.

Застосування: всесезонні походи в гори, альпінізм, катання на лижах, повсякденне використання у місті

Особливості:
	- двошарова тканина: вивід вологи + зігріваючий ефект
	- еластичний матеріал не сковує рухи
	- швидкий вивід вологи
	- плоскі шви
	- анатомічний крій

Характеристики:
	Матеріал: 100% стретч-поліестер, 180 г/м 2
	Вага: 165 г (розмір М)
Зроблено в Україні
"
Термоштани Turbat Yeti Bottom Mns,925 грн,"
	Теплі чоловічі термоштани, створені для малорухливого та статичного використання в холодний період. Вони дуже еластичні, добре прилягають до тіла і забезпечують ефективне відведення вологи.

	Термоштани можуть використовуватись як основний шар одягу під час активного використання у міжсезоння, при потребі поєднуючи з мембранними, вітрозахисними чи утеплюючими штанами. Ще, їх можна використовувати для ночівлі взимку в наметі.

Призначення: щоденне використання у місті в холодну погоду, трекінг, подорожі, зимові ночівлі в наметі.

Особливості:
	- для статичного використання і в холодну погоду
	- основний або базовий шар одягу
	- добре прилягає
	- ефективно зберігає тепло

Технічні характеристики:
	Матеріал: Polyester: 86% Spandex 14%, 288 g/m²
	Вага: 275 г (розмір M)
	 
"
Штани Dynafit FT Dryarn Warm,2 662 грн,"
	Універсальні чоловічі штани ергономічного крою від Dynafit. Ідеальний вибір для любителів спорту та інтенсивних тренувань у прохолодну погоду. Функціональний матеріал у поєднанні з бездоганним дизайном робить дану модель надзвичайно практичною. Завдяки еластичному матеріалу штани чудово тягнуться і забезпечують максимальну свободою рухів у всіх напрямках. Dynafit FT Dryarn Warm ідеальні для активного спорту та усіх різновидів спортивних активностей.

Призначення: заняття спортом, велосипед, біг, фітнес, ігрові види спорту, повсякденне використання, тренування у прохолодну погоду, активний відпочинок.

Особливості:
	- еластичний матеріал
	- повітропроникні властивості
	- безшовна конструкція

Технічні характеристики:
	Матеріали: Elastane 4 % / Polyamide 41 % / Polypropylene 55 %
	Вага: 163 г

Матеріали і технології:
Dryarn - це інноваційне мікроволокно з поліпропілену. Володіє природними бактеріостатичними властивості. Гіпоаллергенна і абсолютно нешкідливо навіть для найчутливіших типів шкіри. Поліпропілен легше води, практично не вбирає вологу, швидко висихає (по швидкості висихання перевершує всі відомі натуральні і синтетичні волокна).
"
Термоштани Dynafit Tour Light Merino 3/4 Tight Mns,2 662 грн,"
	Чоловічі термоштани довжиною 3/4, що швидко сохнуть, від Dynafit. Це практичний базовий шар для теплого одягу. Вони виготовлені з суміші вовни мериноса та дуже легкого дихаючого волокна Dryarn. Ця інноваційна суміш волокон дозволяє отримати тканину з надзвичайно швидким висиханням, яка забезпечує відмінний контроль температури й вологості. Натуральні антимікробні властивості вовни мериноса запобігають накопиченню неприємних запахів у дні інтенсивної активності.

	Поєднання вовни мериноса та синтетичних волокон означає, що термоштани забезпечують більшу еластичність, ніж базовий шар із чистої вовни мериноса. У термоштанів немає швів, тому вони м'які та приємні на дотик. У поєднанні з термоштанами Dynafit Tour Light Merino Longsleeve, вони забезпечать тепло та стануть ідеальним першим шаром для лижних турів.

Призначення: скітур, активний зимовий відпочинок, повсякденне носіння.

Особливості:
	- зберігає тепло вашого тіла, зігріваючи в холодну пору
	- забезпечує повітропроникність, дозволяючи шкірі дихати
	- добре тягнуться
	- антизапах: блокує виникнення неприємних запахів
	- мало важать і практично не відчувається на тілі
	- дуже швидко висихають, що особливо зручно в походах
	- стильний і зручний дизайн
	- безшовна конструкція забезпечує особливий комфорт
	- швидко вбирають вологу, тому ваша шкіра залишається сухою

Технічні характеристики:
	Вага: 92 г
	Матеріали: шерсть мериноса 78%, поліпропілен 22%

Матеріали і технології:

Вовна меринос - вовна австралійський овець породи ""меринос"", яка відмінно зберігає тепло навіть у вологому стані.
"
Термоштани Lasting Andy,817 грн,"
	Чоловічі термоштани із синтетичної тканини від бренду Lasting. Зберігають тепло під час активного заняття спортом, відводять вологу та швидко сохнуть. Анатомічний крій дарує повну свободу рухів. Білизна має анатомічно розташовані зони у місцях підвищеної пітливості та мінімальну кількість швів для максимального комфорту.

Призначення: зимові види спорту, трекінг, велоспорт, альпінізм, заняття спортом

Особливості:
	- товста термобілизна (heavy 320 г/м2)
	- анатомічно розташовані зони у місцях підвищеної пітливості
	- тонкий плоский шов
	- еластичний матеріал, облягає тіло
	- швидко сохне
	- циркуляція повітря та вологовідведення
	- мінімальна кількість швів для більшого комфорту

	Рекомендується купувати у комбінації з термофутболкою Angel

Технічні характеристики:
	Матеріал: 70% поліестер, 24% поліамід, 6% еластан

Матеріали і технології:
	Seamless - безшовна функціональна білизна з анатомічно розташованими зонами, які забезпечують вентиляцію і швидке випаровування поту в місцях підвищеної пітливості. Відмінне облягання тіла сприяє функціональності і забезпечує оптимальну теплорегуляцію. Мінімальна кількість швів та анатомічна форма забезпечують максимальний комфорт і рухливість під час занять спортом.

* Безшовна – категорія термобілизни, що виготовлена із застосуванням мінімальної кількості швів.

	 
"
Термоштани Lasting Ateo,758 грн,"
	Чоловічі термоштани з синтетичної тканини.
	Всесезонна термобілизна підійде для спорту (біг, тренажерний зал тощо), трекінгу, активного катання на лижах, а також для альпінізму.
	Швидко виводить вологу з поверхні шкіри та зберігає тепло під час активного заняття спортом або іншою рухомою діяльністю. Білизна має анатомічно розташовані зони у місцях підвищеної пітливості та мінімальну кількість швів для максимального комфорту.

Застосування: зимові види спорту, трекінг, велоспорт, альпінізм, заняття спортом

Матеріал: 97% siltex (поліпропілен), 3% еластан

Особливості:
	- тонкої товщини (180 г/м2)
	- анатомічно розташовані зони у місцях підвищеної пітливості
	- тонкий плоский шов
	- еластичний матеріал, облягає тіло
	- швидко сохне
	- циркуляція повітря та вологовідведення
	- захисна зона – запобігає швидкому зношуванню в місцях підвищеної рухливості
	- мінімальна кількість швів для більшого комфорту
	- Stop Bacteria - запобігає розмноженню бактерій та появі неприємного запаху

	Рекомендується купувати в комбінації з термофутболкою Apol

Матеріали і технології: 

Seamless 
	Безшовна* функціональна білизна з анатомічно розташованими зонами, які забезпечують вентиляцію і швидке випаровування поту в місцях підвищеної пітливості. Відмінне облягання тіла сприяє функціональності і забезпечує оптимальну теплорегуляцію. Мінімальна кількість швів та анатомічна форма забезпечують максимальний комфорт і рухливість під час занять спортом.

Siltex - штучне волокно, що володіє надзвичайно низькою здатністю вбирати вологу. Волокна забезпечують максимально швидкий і ефективний відвід виділеної організмом вологи від тіла завдяки капілярному ефекту та виключно гладкій поверхні. Ваша шкіра залишиться сухою навіть при підвищених фізичних навантаженнях. Волокно Siltex відрізняється низькою питомою теплопровідністю, що дозволяє підтримувати ідеальний тепловий режим вашої термобілизни навіть в умовах низьких температур.

* Безшовна – категорія термобілизни, що виготовлена із застосуванням мінімальної кількості швів.


"
